Stock,name
C8R.SI,Jiutian Chemical Group Limited
C9Q.SI,Sinostar PEC Holdings Limited
CC3.SI,StarHub Ltd
CEDU.SI,Dasin Retail Trust
CHJ.SI,Uni-Asia Group Limited
CHZ.SI,HRnetGroup Limited
CJLU.SI,NetLink NBN Trust
CLN.SI,APAC Realty Limited
CMOU.SI,Keppel Pacific Oak US REIT
CNE.SI,MindChamps PreSchool Limited
CNNU.SI,Cromwell European Real Estate Investment Trust
CRPU.SI,Sasseur Real Estate Investment Trust
CSFU.SI,Cromwell European Real Estate Investment Trust
CTO.SI,Hong Lai Huat Group Limited
CY6U.SI,Ascendas India Trust
CZ4.SI,Dutech Holdings Limited
D01.SI,Dairy Farm International Holdings Limited
D03.SI,Del Monte Pacific Limited
D05.SI,DBS Group Holdings Ltd
D5IU.SI,Lippo Malls Indonesia Retail Trust
D8DU.SI,First Ship Lease Trust
DM0.SI,Hanwell Holdings Limited
DRX.SI,ST Group Food Industries Holdings Limited
DU4.SI,Mermaid Maritime Public Company Limited
E27.SI,The Place Holdings Limited
E28.SI,Frencken Group Limited
E3B.SI,Wee Hur Holdings Ltd.
E5H.SI,Golden Agri-Resources Ltd
E6R.SI,Samko Timber Limited
E8Z.SI,Roxy-Pacific Holdings Limited
E9L.SI,Joyas International Holdings Limited
EB5.SI,First Resources Limited
EB7.SI,KTL Global Limited
EH5.SI,United Overseas Australia Limited
ER0.SI,KSH Holdings Limited
F03.SI,Food Empire Holdings Limited
F10.SI,F J Benjamin Holdings Ltd
F13.SI,Fu Yu Corporation Limited
F17.SI,GuocoLand Limited
F1E.SI,Low Keng Huat 
F31.SI,Fragrance Group Limited
F34.SI,Wilmar International Limited
F3V.SI,MMP Resources Limited
F83.SI,COSCO Shipping International 
F86.SI,MYP Ltd.
F99.SI,Fraser and Neave
F9D.SI,Boustead Singapore Limited
FQ7.SI,Jasper Investments Limited
FRQ.SI,Singapore Paincare Holdings Limited
G07.SI,Great Eastern Holdings Limited
G0I.SI,Nam Lee Pressed Metal Industries Limited
G11.SI,Guoan International Limited
G13.SI,Genting Singapore Limited
G20.SI,GP Industries Limited
G41.SI,G. K. Goh Holdings Limited
G50.SI,Grand Banks Yachts Limited
G92.SI,China Aviation Oil 
GAAR.SI,error
GU5.SI,China Kunda Technology Holdings Limited
H02.SI,Haw Par Corporation Limited
H07.SI,Stamford Land Corporation Ltd
H12.SI,Hotel Royal Limited
H13.SI,Ho Bee Land Limited
H15.SI,Hotel Properties Limited
H17.SI,Hi-P International Limited
H18.SI,Hotel Grand Central Limited
H22.SI,Hong Leong Asia Ltd.
H30.SI,Hong Fok Corporation Limited
H78.SI,Hongkong Land Holdings Limited
HKB.SI,AMTD International Inc.
HMN.SI,Ascott Residence Trust
I06.SI,Intraco Limited
I07.SI,ISDN Holdings Limited
I11.SI,Renaissance United Limited
I15.SI,Isetan 
I49.SI,IFS Capital Limited
IX2.SI,PEC Ltd.
J03.SI,Jadason Enterprises Ltd
J2T.SI,Hock Lian Seng Holdings Limited
J36.SI,Jardine Matheson Holdings Limited
J37.SI,Jardine Strategic Holdings Limited
J69U.SI,Frasers Centrepoint Trust
J85.SI,CDL Hospitality Trusts
J91U.SI,ESR-REIT
JLB.SI,Grand Venture Technology Limited
JYEU.SI,Lendlease Global Commercial REIT
K03.SI,Khong Guan Limited
K1Q.SI,T T J Holdings Limited
K2LU.SI,ARA LOGOS Logistics Trust
K3DD.SI,Sinopec Shanghai Petrochemical Company Limited
K3FD.SI,Huaneng Power International
K3OD.SI,PetroChina Company Limited
K71U.SI,Keppel REIT
K75.SI,Koh Brothers Group Limited
KJ5.SI,BBR Holdings 
KUH.SI,TSH Corporation Limited
KUO.SI,International Cement Group Ltd.
L02.SI,Manhattan Resources Limited
L03.SI,Lian Beng Group Ltd
L19.SI,Lum Chang Holdings Limited
L23.SI,Enviro-Hub Holdings Ltd.
L38.SI,AF Global Limited
LJ3.SI,OUE Limited
LS9.SI,Leader Environmental Technologies Limited
LUY.SI,Raffles Infrastructure Holdings Limited
M01.SI,Metro Holdings Limited
M03.SI,Miyoshi Limited
M04.SI,Mandarin Oriental International Limited
M05.SI,MTQ Corporation Limited
M11.SI,Manufacturing Integration Technology Ltd
M14.SI,InnoTek Limited
